RENAISSANCE AI FUND - AVOID LIST,,,,
Companies that destroy capital - DO NOT INVEST,,,,
,,,,
Category,Ticker,Company,Sector,Why Avoid
BANKRUPT,LAZRQ,Luminar Technologies,EV/Lidar,Filed bankruptcy Dec 2025
BANKRUPT,SAVEQ,Spirit Airlines,Airlines,Filed bankruptcy Nov 2024
BANKRUPT,NKLAQ,Nikola Corp,EV,Filed bankruptcy Feb 2025
BANKRUPT,GOEVQ,Canoo Inc,EV,Filed bankruptcy Jan 2025
BANKRUPT,TUPBQ,Tupperware Brands,Consumer,Filed bankruptcy Sep 2024
BANKRUPT,BIGGQ,Big Lots Inc,Retail,Filed bankruptcy Sep 2024
BANKRUPT,MEHCQ,23andMe,Biotech,Filed bankruptcy Mar 2025
BANKRUPT,WEWKQ,WeWork Inc,Real Estate,Filed bankruptcy Nov 2023
BANKRUPT,SPWRQ,SunPower Corp,Solar,Filed bankruptcy Aug 2024
BANKRUPT,RADCQ,Rite Aid Corp,Retail,Filed bankruptcy Oct 2023
BANKRUPT,BBBYQ,Bed Bath & Beyond,Retail,Filed bankruptcy Apr 2023
BANKRUPT,YELLQ,Yellow Corp,Trucking,Filed bankruptcy Aug 2023
BANKRUPT,FLYYQ,Spirit Aviation,Airlines,Filed bankruptcy Sep 2025
BANKRUPT,FSRQ,Fisker Inc,EV,Filed bankruptcy Jun 2024
BANKRUPT,LILMF,Lilium NV,Air Taxi,Filed bankruptcy Nov 2024
BANKRUPT,RIDE,Lordstown Motors,EV,Filed bankruptcy Jun 2023
BANKRUPT,PTRA,Proterra Inc,EV Bus,Filed bankruptcy Aug 2023
BANKRUPT,IRBTQ,iRobot Corp,Consumer Tech,Filed bankruptcy Dec 2025
BANKRUPT,SNDQ,Sonder Holdings,Hospitality,Filed bankruptcy Nov 2025
BANKRUPT,DNMRQ,Danimer Scientific,Materials,Filed bankruptcy Dec 2024
BANKRUPT,LEVGQ,Lion Electric,EV,Filed bankruptcy Dec 2024
BANKRUPT,TCSGQ,Container Store,Retail,Filed bankruptcy Dec 2024
BANKRUPT,SDCCQ,SmileDirectClub,Healthcare,Filed bankruptcy Sep 2023
BANKRUPT,BRDSQ,Bird Global,EV/Scooters,Filed bankruptcy Sep 2023
BANKRUPT,EXPR,Express Inc,Retail,Filed bankruptcy Apr 2024
EV/CLEAN,LCID,Lucid Group,EV,"Burning $3B+/yr, no path to profit"
EV/CLEAN,RIVN,Rivian,EV,"Burning $4B+/yr, Amazon dependent"
EV/CLEAN,FFIE,Faraday Future,EV,"Near bankruptcy, fraud history"
